timestamp,type,indoor,location_id,sampling_rate,P1,P2,durP1,durP2,ratioP1,ratioP2,temperature,humidity,pressure,altitude,pressure_sealevel,brightness,dust_density,vo_raw,voltage,P10,P25,durP10,durP25,ratioP10,ratioP25
2015-05-05 08:15:59.847276+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,16655.81,3513.72,2906824,972924,19.38,6.49
2015-05-05 08:15:44.635833+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,28522.88,4473.86,3794072,1198488,25.29,7.99
2015-05-05 08:15:29.426569+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,15669.34,3569.94,2812860,986724,18.75,6.58
2015-05-05 08:15:14.215062+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12730.82,3104.04,2503032,870160,16.69,5.80
2015-05-05 08:14:59.003782+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14017.50,3551.84,2644788,982288,17.63,6.55
2015-05-05 08:14:43.795172+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14654.00,3499.72,2711264,969476,18.08,6.46
2015-05-05 08:14:28.587472+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,11382.61,3232.02,2342328,902680,15.62,6.02
2015-05-05 08:14:13.374861+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,11994.71,3027.35,2416972,850496,16.11,5.67
2015-05-05 08:13:58.163716+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13236.80,3318.26,2560024,924380,17.07,6.16
2015-05-05 08:13:42.955626+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13134.64,3496.96,2548652,968796,16.99,6.46
2015-05-05 08:13:27.747796+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12080.13,3061.42,2427160,859248,16.18,5.73
2015-05-05 08:13:12.536725+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13187.93,3960.95,2554592,1080648,17.03,7.20
2015-05-05 08:12:57.323005+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12409.39,3058.44,2465928,858484,16.44,5.72
2015-05-05 08:12:42.111640+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14310.75,3640.22,2675696,1003868,17.84,6.69
2015-05-05 08:12:26.906133+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12022.30,2602.99,2420268,739320,16.14,4.93
2015-05-05 08:12:11.691216+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,11961.63,3174.79,2413012,888184,16.09,5.92
2015-05-05 08:11:56.480045+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,11904.76,3318.15,2406184,924352,16.04,6.16
2015-05-05 08:11:41.272567+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14927.72,3440.10,2739172,954744,18.26,6.36
2015-05-05 08:11:26.061052+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14494.91,3539.82,2694860,979340,17.97,6.53
2015-05-05 08:11:10.852364+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14609.72,3515.38,2706712,973332,18.04,6.49
2015-05-05 08:10:55.641010+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,13690.81,3717.87,2609768,1022676,17.40,6.82
2015-05-05 08:10:40.432068+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,12981.51,2931.16,2531480,825644,16.88,5.50
2015-05-05 08:10:25.220743+00:00,dsm501a,True,4,15000,,,,,,,,,,,,,,,,14127.96,3689.97,2656488,1015936,17.71,6.77
